"period","site","dens","spp","norm"
44,"1_10R",0,"paras",-0.774527494927824
45,"1_10R",0,"paras",-0.774527494927824
46,"1_10R",0,"paras",-0.774527494927824
47,"1_10R",0.05,"paras",-0.613664092135122
48,"1_10R",NA,"paras",NA
49,"1_10R",0.05,"paras",-0.613664092135122
50,"1_10R",0,"paras",-0.774527494927824
51,"1_10R",0,"paras",-0.774527494927824
52,"1_10R",0.05,"paras",-0.613664092135122
53,"1_10R",0,"paras",-0.774527494927824
54,"1_10R",0.05,"paras",-0.613664092135122
55,"1_10R",0.3,"paras",0.190652921828387
56,"1_10R",NA,"paras",NA
57,"1_10R",0,"paras",-0.774527494927824
58,"1_10R",NA,"paras",NA
59,"1_10R",NA,"paras",NA
60,"1_10R",NA,"paras",NA
61,"1_10R",0,"paras",-0.774527494927824
62,"1_10R",NA,"paras",NA
63,"1_10R",0,"paras",-0.774527494927824
1,"1_10R",0.25,"pat",5.82487805228068
2,"1_10R",0,"pat",-0.342639885428275
3,"1_10R",0,"pat",-0.342639885428275
4,"1_10R",0,"pat",-0.342639885428275
5,"1_10R",0,"pat",-0.342639885428275
6,"1_10R",0.05,"pat",0.890863702113516
7,"1_10R",0,"pat",-0.342639885428275
8,"1_10R",NA,"pat",NA
9,"1_10R",0,"pat",-0.342639885428275
10,"1_10R",0,"pat",-0.342639885428275
11,"1_10R",0,"pat",-0.342639885428275
12,"1_10R",0,"pat",-0.342639885428275
13,"1_10R",0,"pat",-0.342639885428275
14,"1_10R",0,"pat",-0.342639885428275
15,"1_10R",0,"pat",-0.342639885428275
16,"1_10R",0,"pat",-0.342639885428275
17,"1_10R",0,"pat",-0.342639885428275
18,"1_10R",0.05,"pat",0.890863702113516
19,"1_10R",0,"pat",-0.342639885428275
20,"1_10R",NA,"pat",NA
21,"1_10R",0,"pat",-0.342639885428275
22,"1_10R",0,"pat",-0.342639885428275
23,"1_10R",0,"pat",-0.342639885428275
24,"1_10R",0,"pat",-0.342639885428275
25,"1_10R",0,"pat",-0.342639885428275
26,"1_10R",NA,"pat",NA
27,"1_10R",0,"pat",-0.342639885428275
28,"1_10R",0,"pat",-0.342639885428275
29,"1_10R",0,"pat",-0.342639885428275
30,"1_10R",0,"pat",-0.342639885428275
31,"1_10R",0,"pat",-0.342639885428275
32,"1_10R",0,"pat",-0.342639885428275
33,"1_10R",0,"pat",-0.342639885428275
34,"1_10R",0,"pat",-0.342639885428275
35,"1_10R",0,"pat",-0.342639885428275
36,"1_10R",0,"pat",-0.342639885428275
37,"1_10R",0,"pat",-0.342639885428275
38,"1_10R",0,"pat",-0.342639885428275
39,"1_10R",0,"pat",-0.342639885428275
40,"1_10R",0,"pat",-0.342639885428275
41,"1_10R",0,"pat",-0.342639885428275
42,"1_10R",0,"pat",-0.342639885428275
43,"1_10R",0,"pat",-0.342639885428275
44,"1_10R",0,"pat",-0.342639885428275
45,"1_10R",0.1,"pat",2.12436728965531
46,"1_10R",0,"pat",-0.342639885428275
47,"1_10R",0.1,"pat",2.12436728965531
48,"1_10R",NA,"pat",NA
49,"1_10R",0.05,"pat",0.890863702113516
50,"1_10R",0,"pat",-0.342639885428275
51,"1_10R",0,"pat",-0.342639885428275
52,"1_10R",0,"pat",-0.342639885428275
53,"1_10R",0.05,"pat",0.890863702113516
54,"1_10R",0,"pat",-0.342639885428275
55,"1_10R",0,"pat",-0.342639885428275
56,"1_10R",NA,"pat",NA
57,"1_10R",0.05,"pat",0.890863702113516
58,"1_10R",NA,"pat",NA
59,"1_10R",NA,"pat",NA
60,"1_10R",NA,"pat",NA
61,"1_10R",0,"pat",-0.342639885428275
62,"1_10R",NA,"pat",NA
63,"1_10R",0.05,"pat",0.890863702113516
1,"1_10R",0.35,"pis",2.12187155286195
2,"1_10R",0,"pis",-0.732460998674766
3,"1_10R",0,"pis",-0.732460998674766
4,"1_10R",0,"pis",-0.732460998674766
5,"1_10R",0,"pis",-0.732460998674766
6,"1_10R",0,"pis",-0.732460998674766
7,"1_10R",0,"pis",-0.732460998674766
8,"1_10R",NA,"pis",NA
9,"1_10R",0,"pis",-0.732460998674766
10,"1_10R",0,"pis",-0.732460998674766
11,"1_10R",0,"pis",-0.732460998674766
12,"1_10R",0,"pis",-0.732460998674766
13,"1_10R",0,"pis",-0.732460998674766
14,"1_10R",0,"pis",-0.732460998674766
15,"1_10R",0,"pis",-0.732460998674766
16,"1_10R",0,"pis",-0.732460998674766
17,"1_10R",0,"pis",-0.732460998674766
18,"1_10R",0,"pis",-0.732460998674766
19,"1_10R",0.05,"pis",-0.324699205598092
20,"1_10R",NA,"pis",NA
21,"1_10R",0.1,"pis",0.0830625874785817
22,"1_10R",0.15,"pis",0.490824380555255
23,"1_10R",0.25,"pis",1.3063479667086
24,"1_10R",0.2,"pis",0.898586173631929
25,"1_10R",0.05,"pis",-0.324699205598092
26,"1_10R",NA,"pis",NA
27,"1_10R",0,"pis",-0.732460998674766
28,"1_10R",0,"pis",-0.732460998674766
29,"1_10R",0.05,"pis",-0.324699205598092
30,"1_10R",0,"pis",-0.732460998674766
31,"1_10R",0.05,"pis",-0.324699205598092
32,"1_10R",0,"pis",-0.732460998674766
33,"1_10R",0.05,"pis",-0.324699205598092
34,"1_10R",0.25,"pis",1.3063479667086
35,"1_10R",0.1,"pis",0.0830625874785817
36,"1_10R",0,"pis",-0.732460998674766
37,"1_10R",0.05,"pis",-0.324699205598092
38,"1_10R",0.05,"pis",-0.324699205598092
39,"1_10R",0.15,"pis",0.490824380555255
40,"1_10R",0,"pis",-0.732460998674766
41,"1_10R",0,"pis",-0.732460998674766
42,"1_10R",0.25,"pis",1.3063479667086
43,"1_10R",0.35,"pis",2.12187155286195
44,"1_10R",0.5,"pis",3.34515693209197
45,"1_10R",0.25,"pis",1.3063479667086
46,"1_10R",0.15,"pis",0.490824380555255
47,"1_10R",0.35,"pis",2.12187155286195
48,"1_10R",NA,"pis",NA
49,"1_10R",0.35,"pis",2.12187155286195
50,"1_10R",0.1,"pis",0.0830625874785817
51,"1_10R",0.05,"pis",-0.324699205598092
52,"1_10R",0.1,"pis",0.0830625874785817
53,"1_10R",0.1,"pis",0.0830625874785817
54,"1_10R",0.2,"pis",0.898586173631929
55,"1_10R",0,"pis",-0.732460998674766
56,"1_10R",NA,"pis",NA
57,"1_10R",0.05,"pis",-0.324699205598092
58,"1_10R",NA,"pis",NA
59,"1_10R",NA,"pis",NA
60,"1_10R",NA,"pis",NA
61,"1_10R",0,"pis",-0.732460998674766
62,"1_10R",NA,"pis",NA
63,"1_10R",0.15,"pis",0.490824380555255
1,"1_10R",0.6,"pter",1.22347308681727
2,"1_10R",1.15,"pter",3.01348050940215
3,"1_10R",0.35,"pter",0.409833349278693
4,"1_10R",0,"pter",-0.729262283275321
5,"1_10R",1.15,"pter",3.01348050940215
6,"1_10R",0.55,"pter",1.06074513930956
7,"1_10R",0.4,"pter",0.572561296786409
8,"1_10R",NA,"pter",NA
9,"1_10R",0.35,"pter",0.409833349278693
10,"1_10R",0.25,"pter",0.0843774542632603
11,"1_10R",0.2,"pter",-0.0783504932444559
12,"1_10R",0.2,"pter",-0.0783504932444559
13,"1_10R",0.2,"pter",-0.0783504932444559
14,"1_10R",0.15,"pter",-0.241078440752172
